timestamp_ms,raw_rms,db_rms,onset_rate,db_spice
751000,0.000023,-92.798140,0.000000,0.000000
751500,0.000033,-89.567444,0.000000,0.000000
752000,0.000085,-81.414829,2.000000,0.000000
752500,0.001277,-57.873146,8.000000,0.685074
753000,0.002300,-52.767271,8.000000,0.889309
753500,0.001283,-57.832937,6.000000,0.686683
754000,0.001139,-58.870748,8.000000,0.645170
754500,0.000798,-61.957548,6.000000,0.521698
755000,0.000687,-63.260170,6.000000,0.469593
755500,0.001589,-55.974840,8.000000,0.761006
756000,0.001753,-55.123893,8.000000,0.795044
756500,0.001232,-58.187908,8.000000,0.672484
757000,0.000804,-61.896597,8.000000,0.524136
757500,0.000600,-64.440456,10.000000,0.422382
758000,0.000411,-67.723026,8.000000,0.291079
758500,0.000245,-72.219949,6.000000,0.111202
759000,0.000158,-76.052783,0.000000,0.000000
759500,0.000176,-75.096086,2.000000,0.000000
760000,0.000148,-76.623873,2.000000,0.000000
760500,0.000107,-79.433382,0.000000,0.000000
761000,0.000054,-85.418712,2.000000,0.000000
761500,0.000124,-78.137340,2.000000,0.000000
762000,0.000089,-81.028807,2.000000,0.000000
762500,0.000100,-79.984693,2.000000,0.000000
763000,0.000110,-79.143398,2.000000,0.000000
763500,0.000076,-82.425942,0.000000,0.000000
764000,0.000102,-79.789205,2.000000,0.000000
764500,0.000049,-86.202930,0.000000,0.000000
765000,0.000019,-94.231266,0.000000,0.000000
765500,0.000030,-90.404480,0.000000,0.000000
766000,0.000054,-85.376552,0.000000,0.000000
766500,0.000043,-87.277452,0.000000,0.000000
767000,0.000057,-84.900196,0.000000,0.000000
767500,0.000039,-88.092716,2.000000,0.000000
768000,0.000057,-84.881273,0.000000,0.000000
768500,0.000027,-91.408356,0.000000,0.000000
769000,0.000021,-93.623797,0.000000,0.000000
769500,0.000024,-92.388761,0.000000,0.000000
770000,0.000034,-89.267210,0.000000,0.000000
770500,0.000061,-84.330400,2.000000,0.000000
771000,0.000027,-91.488058,0.000000,0.000000
771500,0.000018,-95.042360,0.000000,0.000000
772000,0.000017,-95.464807,0.000000,0.000000
772500,0.000017,-95.567114,0.000000,0.000000
773000,0.000016,-95.658582,0.000000,0.000000
773500,0.000017,-95.481169,0.000000,0.000000
774000,0.000016,-95.904788,0.000000,0.000000
774500,0.000019,-94.514986,0.000000,0.000000
775000,0.000020,-94.003877,0.000000,0.000000
775500,0.000026,-91.694219,0.000000,0.000000
776000,0.000022,-93.237320,0.000000,0.000000
776500,0.000020,-93.829022,0.000000,0.000000
777000,0.000018,-94.855839,0.000000,0.000000
777500,0.000019,-94.205581,0.000000,0.000000
778000,0.000021,-93.714357,0.000000,0.000000
778500,0.000073,-82.728068,2.000000,0.000000
779000,0.000048,-86.448861,0.000000,0.000000
779500,0.000044,-87.068707,0.000000,0.000000
780000,0.000040,-87.988742,0.000000,0.000000
780500,0.000055,-85.271178,0.000000,0.000000
781000,0.000040,-87.863482,0.000000,0.000000
781500,0.000038,-88.457457,0.000000,0.000000
782000,0.000052,-85.704296,2.000000,0.000000
782500,0.000062,-84.194095,0.000000,0.000000
783000,0.000039,-88.145732,0.000000,0.000000
783500,0.000026,-91.799533,0.000000,0.000000
784000,0.000020,-94.067894,0.000000,0.000000
784500,0.000030,-90.350959,0.000000,0.000000
785000,0.000035,-89.163477,0.000000,0.000000
785500,0.000035,-89.116955,0.000000,0.000000
786000,0.000043,-87.377458,0.000000,0.000000
786500,0.000059,-84.551726,0.000000,0.000000
787000,0.002204,-53.133805,10.000000,0.874648
787500,0.001408,-57.027707,6.000000,0.718892
788000,0.000716,-62.902592,10.000000,0.483896
788500,0.000178,-74.991568,2.000000,0.000337
789000,0.000051,-85.810250,0.000000,0.000000
789500,0.000052,-85.683528,0.000000,0.000000
790000,0.000092,-80.726941,2.000000,0.000000
790500,0.000122,-78.297034,2.000000,0.000000
791000,0.000079,-82.035881,2.000000,0.000000
791500,0.000084,-81.565717,2.000000,0.000000
792000,0.000055,-85.159943,2.000000,0.000000
792500,0.000051,-85.776477,0.000000,0.000000
793000,0.000119,-78.491122,2.000000,0.000000
793500,0.000046,-86.691582,0.000000,0.000000
794000,0.001024,-59.794380,6.000000,0.608225
794500,0.002038,-53.818045,10.000000,0.847278
795000,0.001555,-56.163429,8.000000,0.753463
795500,0.001004,-59.969038,10.000000,0.601238
796000,0.001831,-54.746867,8.000000,0.810125
796500,0.001819,-54.804265,8.000000,0.807829
797000,0.001604,-55.897389,8.000000,0.764104
797500,0.001687,-55.459964,8.000000,0.781601
798000,0.001148,-58.803010,10.000000,0.647880
